Algorithm,# Floors,# Vertices,# Robots,Traversal Time,Computation Time (sec)
COCTA,9,202,5,241,0.18812894821166992
DFS-BGS,9,202,5,1733,0.06932997703552246
COCTA,9,202,10,181,0.15888404846191406
DFS-BGS,9,202,10,1768,0.09614014625549316
COCTA,9,202,15,163,0.13775277137756348
DFS-BGS,9,202,15,1780,0.5439801216125488
COCTA,9,202,20,143,0.17880868911743164
DFS-BGS,9,202,20,1033,0.28078293800354004
COCTA,9,202,25,129,0.15025615692138672
DFS-BGS,9,202,25,939,0.23169302940368652
COCTA,9,202,30,102,0.08755207061767578
DFS-BGS,9,202,30,815,0.24132299423217773
COCTA,9,202,35,95,0.07525110244750977
DFS-BGS,9,202,35,493,0.17030096054077148
COCTA,9,202,40,91,0.08259892463684082
DFS-BGS,9,202,40,481,0.15196728706359863
COCTA,9,202,45,86,0.0762779712677002
DFS-BGS,9,202,45,447,0.14458441734313965
COCTA,9,202,50,78,0.06754517555236816
DFS-BGS,9,202,50,503,0.102996826171875
COCTA,9,202,55,76,0.07418012619018555
DFS-BGS,9,202,55,515,0.16045188903808594
COCTA,9,202,60,72,0.09836697578430176
DFS-BGS,9,202,60,533,0.1502530574798584
COCTA,9,202,65,70,0.06800365447998047
DFS-BGS,9,202,65,517,0.14845013618469238
COCTA,9,202,70,59,0.04422116279602051
DFS-BGS,9,202,70,511,0.15594196319580078
COCTA,9,202,75,57,0.04697394371032715
DFS-BGS,9,202,75,553,0.18669509887695312
COCTA,9,202,80,53,0.05526232719421387
DFS-BGS,9,202,80,453,0.17798304557800293
COCTA,9,202,85,52,0.051423072814941406
DFS-BGS,9,202,85,453,0.17483806610107422
COCTA,9,202,90,50,0.06861495971679688
DFS-BGS,9,202,90,453,0.15662002563476562
COCTA,9,202,95,47,0.042298078536987305
DFS-BGS,9,202,95,143,0.15750384330749512
COCTA,9,202,100,46,0.05256795883178711
DFS-BGS,9,202,100,143,0.12538814544677734
COCTA,10,202,5,241,0.16980481147766113
DFS-BGS,10,202,5,1733,0.07237005233764648
COCTA,10,202,10,181,0.12307190895080566
DFS-BGS,10,202,10,1768,0.10895609855651855
COCTA,10,202,15,163,0.1311800479888916
DFS-BGS,10,202,15,1780,0.1765289306640625
COCTA,10,202,20,143,0.1035909652709961
DFS-BGS,10,202,20,1033,0.21056818962097168
COCTA,10,202,25,129,0.07734107971191406
DFS-BGS,10,202,25,939,0.18302011489868164
COCTA,10,202,30,102,0.07874894142150879
DFS-BGS,10,202,30,815,0.19797992706298828
COCTA,10,202,35,95,0.07886910438537598
DFS-BGS,10,202,35,493,0.19571399688720703
COCTA,10,202,40,91,0.10668587684631348
DFS-BGS,10,202,40,481,0.1495201587677002
COCTA,10,202,45,86,0.06399893760681152
DFS-BGS,10,202,45,447,0.12909221649169922
COCTA,10,202,50,78,0.08816790580749512
DFS-BGS,10,202,50,503,0.13428783416748047
COCTA,10,202,55,76,0.06226992607116699
DFS-BGS,10,202,55,515,0.1808629035949707
COCTA,10,202,60,72,0.0657041072845459
DFS-BGS,10,202,60,533,0.17593693733215332
COCTA,10,202,65,70,0.08346891403198242
DFS-BGS,10,202,65,517,0.17816877365112305
COCTA,10,202,70,59,0.04409384727478027
DFS-BGS,10,202,70,511,0.1834087371826172
COCTA,10,202,75,57,0.04779195785522461
DFS-BGS,10,202,75,553,0.1917109489440918
COCTA,10,202,80,53,0.07762503623962402
DFS-BGS,10,202,80,453,0.25853490829467773
COCTA,10,202,85,52,0.06018996238708496
DFS-BGS,10,202,85,453,0.20317506790161133
COCTA,10,202,90,50,0.07771611213684082
DFS-BGS,10,202,90,453,0.2922999858856201
COCTA,10,202,95,47,0.0703282356262207
DFS-BGS,10,202,95,143,0.18545103073120117
COCTA,10,202,100,46,0.05497097969055176
DFS-BGS,10,202,100,143,0.15501189231872559
